,position,rate,animal
63,Hitrate_POS4,0.625,Agasse
64,Hitrate_POS4,0.4107142857,Agasse
65,Hitrate_POS4,0.75,Agasse
66,Hitrate_POS4,0.4333333333,Agasse
67,Hitrate_POS4,0.3513513514,Agasse
68,Hitrate_POS4,0.5,Agasse
69,Hitrate_POS4,0.78125,Agasse
70,Hitrate_POS4,0.5161290323,Agasse
71,Hitrate_POS4,0.4615384615,Agasse
72,Hitrate_POS4,0.2857142857,Agasse
73,Hitrate_POS4,0.3846153846,Agasse
74,Hitrate_POS4,0.7619047619,Agasse
75,Hitrate_POS4,0.4318181818,Agasse
76,Hitrate_POS4,0.3157894737,Agasse
77,Hitrate_POS4,0.1904761905,Agasse
78,Hitrate_POS4,0.2142857143,Agasse
79,Hitrate_POS4,0.625,Agasse
80,Hitrate_POS4,0.4324324324,Agasse
81,Hitrate_POS4,0.3823529412,Agasse
82,Hitrate_POS4,0.3703703704,Agasse
83,Hitrate_POS4,0.3103448276,Agasse
84,Hitrate_POS4,0.2972972973,Agasse
85,Hitrate_POS4,0.3636363636,Agasse
86,Hitrate_POS4,0.15625,Agasse
87,Hitrate_POS4,0.3333333333,Agasse
88,Hitrate_POS4,0.56,Agasse
89,Hitrate_POS4,0.2105263158,Agasse
90,Hitrate_POS4,0.3076923077,Agasse
91,Hitrate_POS4,0.59375,Agasse
92,Hitrate_POS4,0.3260869565,Agasse
93,Hitrate_POS4,0.3939393939,Agasse
94,Hitrate_POS5,0.2666666667,Agasse
95,Hitrate_POS5,0.1428571429,Agasse
96,Hitrate_POS5,0.2777777778,Agasse
97,Hitrate_POS5,0.1818181818,Agasse
98,Hitrate_POS5,0.2608695652,Agasse
99,Hitrate_POS5,0.28,Agasse
100,Hitrate_POS5,0.4666666667,Agasse
101,Hitrate_POS5,0.6666666667,Agasse
102,Hitrate_POS5,0.5,Agasse
103,Hitrate_POS5,0.7333333333,Agasse
104,Hitrate_POS5,0.3333333333,Agasse
105,Hitrate_POS5,0.2380952381,Agasse
106,Hitrate_POS5,0.4444444444,Agasse
107,Hitrate_POS5,0.6,Agasse
108,Hitrate_POS5,0.2,Agasse
109,Hitrate_POS5,0.1111111111,Agasse
110,Hitrate_POS5,0.5,Agasse
111,Hitrate_POS5,0.4,Agasse
112,Hitrate_POS5,0.5833333333,Agasse
113,Hitrate_POS5,0.1538461538,Agasse
114,Hitrate_POS5,0.2608695652,Agasse
115,Hitrate_POS5,0.5625,Agasse
116,Hitrate_POS5,0.7,Agasse
117,Hitrate_POS5,0.6153846154,Agasse
118,Hitrate_POS5,0.4285714286,Agasse
119,Hitrate_POS5,0.2307692308,Agasse
120,Hitrate_POS5,0.2631578947,Agasse
121,Hitrate_POS5,0.75,Agasse
122,Hitrate_POS5,0.375,Agasse
123,Hitrate_POS5,0.1666666667,Agasse
124,Hitrate_POS5,0.4166666667,Agasse
125,Hitrate_POS5,0.25,Agasse
126,Hitrate_POS5,0.6363636364,Agasse
127,Hitrate_POS5,0.4285714286,Agasse
128,Hitrate_POS5,0.3846153846,Agasse
129,Hitrate_POS5,0.2666666667,Agasse
130,Hitrate_POS5,0.3157894737,Agasse
131,Hitrate_POS5,0.3846153846,Agasse
132,Hitrate_POS5,0.4545454545,Agasse
133,Hitrate_POS5,0.05882352941,Agasse
134,Hitrate_POS5,0.4666666667,Agasse
135,Hitrate_POS5,0.5,Agasse
136,Hitrate_POS5,0.3333333333,Agasse
137,Hitrate_POS5,0.3333333333,Agasse
138,Hitrate_POS5,0.5384615385,Agasse
139,Hitrate_POS5,0.32,Agasse
140,Hitrate_POS5,0.2272727273,Agasse
0,Hitrate_POS3,0.6,Ecir
1,Hitrate_POS3,0.3888888889,Ecir
2,Hitrate_POS3,0.3,Ecir
3,Hitrate_POS3,0.5769230769,Ecir
4,Hitrate_POS3,0.8157894737,Ecir
5,Hitrate_POS3,0.6470588235,Ecir
6,Hitrate_POS3,0.7727272727,Ecir
7,Hitrate_POS3,0.4347826087,Ecir
8,Hitrate_POS3,0.5,Ecir
9,Hitrate_POS3,0.4772727273,Ecir
10,Hitrate_POS3,0.5142857143,Ecir
11,Hitrate_POS3,0.4782608696,Ecir
12,Hitrate_POS3,0.2105263158,Ecir
13,Hitrate_POS3,0.4285714286,Ecir
14,Hitrate_POS4,0.696969697,Ecir
15,Hitrate_POS4,0.25,Ecir
16,Hitrate_POS4,0.5897435897,Ecir
17,Hitrate_POS4,0.619047619,Ecir
18,Hitrate_POS4,0.6428571429,Ecir
19,Hitrate_POS4,0.380952381,Ecir
20,Hitrate_POS4,0.7647058824,Ecir
21,Hitrate_POS4,0.5,Ecir
22,Hitrate_POS4,0.4090909091,Ecir
23,Hitrate_POS4,0.5490196078,Ecir
24,Hitrate_POS4,0.7058823529,Ecir
25,Hitrate_POS4,0.6363636364,Ecir
26,Hitrate_POS4,0.5128205128,Ecir
27,Hitrate_POS4,0.4814814815,Ecir
28,Hitrate_POS5,0.2222222222,Ecir
29,Hitrate_POS5,0.3333333333,Ecir
30,Hitrate_POS5,0.3571428571,Ecir
31,Hitrate_POS5,0.5384615385,Ecir
32,Hitrate_POS5,0.4,Ecir
33,Hitrate_POS5,0.4285714286,Ecir
34,Hitrate_POS5,0.5,Ecir
35,Hitrate_POS5,0.3,Ecir
36,Hitrate_POS5,0.1666666667,Ecir
37,Hitrate_POS5,0.2,Ecir
38,Hitrate_POS5,0.3333333333,Ecir
39,Hitrate_POS5,0.2,Ecir
40,Hitrate_POS5,0.5454545455,Ecir
41,Hitrate_POS5,0.3333333333,Ecir
